artist,amount_of_songs,amount_of_plays
Vanessa Carlton,1,1
Korn,1,1
NAV,1,1
Jed Harper,1,1
Binum,1,1
Moriks,1,1
Miss K8,1,1
Jeff Williams,1,1
Peter Sandberg,3,7
Dardust,1,2
Shaun Taylor McManus,1,2
Johannes Bornlof,5,6
Relajar,1,3
Peter Broderick,1,3
Charlie key,2,3
Clint Mansell,1,2
Grobert,2,3
Charles Bolt,2,3
Joep Beving,4,7
Sigimund,2,4
Philip Glass,3,6
Otto Wahl,2,5
Juliana,2,2
Alex Kozobolis,1,1
Goldmund,4,6
Hugar,2,2
Dmitry Evgrafov,2,2
Alexandra Streliski,1,1
Kylian Rebour,1,1
Mélanie Laurent,2,5
Dirk Maassen,3,3
Piotr Miteska,2,2
Lo Mimieux,1,4
Leo Finka,1,1
David West,1,2
Vincent & A Secret,1,1
Phildel,1,1
Chad Lawson,1,2
Mbo Mentho,1,1
Novel,1,2
Hermann,1,1
Christoph Willibald Gluck,1,1
Tonie Green,1,2
Firstnighter,1,1
Dustin O'Halloran,3,7
Rhiannon Bannenberg,2,3
Oneke,2,2
The Daydream Club,1,1
Julius Aston,1,1
Akira Kosemura,1,2
Karin Borg,2,3
Rebour,1,1
Agnes Obel,2,2
Jeff Bright Jr,1,1
Deaf Center,1,2
Greg Haines,1,2
Peter Bradley Adams,1,1
Novo Talos,1,1
Roberto Cacciapaglia,1,2
Mayhem,1,1
PIANO NOVEL,1,1
Half Moon Run,1,1
Gavin Luke,1,1
Greg Barley,2,2
Gabriel Parker,3,3
Ana Olgica,1,2
Neil Cowley Trio,1,2
Bruno Bavota,1,1
The Arcadian Wild,1,2
Emika,1,1
Ozymandias,1,1
Alexis Ffrench,1,2
Amity Cadet,1,1
Benny Treskow,1,1
Lü Wencheng,1,1
James Spiteri,1,1
Otto Totland,1,1
Gabriela Parra,1,1
Philip Wesley,1,2
Michl,1,1
Mind Vortex,1,26
HOMmega official,3,7
Olivia Newton-John,1,1
Frankie Valli,1,1
5 Seconds of Summer,4,4
Tinashe,1,2
Mokita,1,2
Luca Schreiner,1,2
Mandelbarth,1,1
Robbie Rivera,1,2
TRXD,1,2
Jesper Jenset,1,2
Tep No,1,2
Sandro Silva,1,2
Broken Back,2,3
OLLIN KAN,1,2
Kenn Colt,1,2
Jon Sine,1,2
RÆVE,1,2
NLSN,1,2
TV Noise,1,1
Dolf,1,1
Gnarly Gibbs,1,1
Isac Elliot,1,1
Vijay & Sofia Zlatko,1,1
Hugel,1,1
LCAW,1,1
Tim Arisu,1,1
Lea Rue,1,1
Dropgun,1,1
Svenja Leopold,1,1
Girls love djs,1,1
Møme,1,1
Starley,2,2
Kav Verhouzer,2,2
Calvo,1,1
Larrykoek,1,1
Blinkie,1,1
PenThoX,1,1
Suite 69,1,1
Julius Abel,1,1
Boy Kiss Girl,1,1
Lincoln Jesser,1,1
Aeroplane,1,1
Juliette Claire,1,1
Wild Royal Coast,1,1
Fountain of youth,1,1
Nuits d'Etoiles,1,1
Hakuna,1,1
TooManyLeftHands,1,1
Chad Cooper,1,1
Henri Pfr,1,1
JP Cooper,1,1
Cookie Crumbles,1,1
Propulsive,1,1
Broiler,1,1
<Unknown>,31,316
Psibindi,1,2
Pianoramix,1,1
NerdOut,1,1
Halloween party,1,1
Monster High,1,1
Tokyo Machine,1,1
Dusky,1,1
Darius,1,1
Anna Yvette,1,1
Tom Misch & Carmody,1,1
PROFF,1,1
Declan McKenna,1,1
Thelonious Monk,1,1
Chilly Gonzales,1,1
Michael Sparks,1,1
MMXVAC,1,1
Havok Roth VIP,1,1
Rishi,1,1
Sillo,1,7
Dumpert Anthem,1,1
Julian Calor,1,1
Des Devious,1,2
Jus Allah,2,4
Michael Jackson,3,3
Kinderliedjes,1,1
Watsky,1,1
Christian Sleeman,1,2
PAZ,1,2
Launch Kontrol,1,2
Elysian Records,2,3
TheUnder,1,2
Marc  Madness,1,1
Go Hard Records,1,1
ZVNEX.,1,1
Dropkillerz,2,4
WELT,1,1
Mendus,1,2
Trap Sounds,15,19
Superbeats,3,4
FILTHY DELUXE,1,2
Smog Records,1,1
Victor Niglio,1,1
KING TUTT [OFFICIAL],1,1
Unborn Records,1,1
TRAP PARTY,2,2
KayOh,1,1
Formil,1,1
CAPS LOCK CREW,1,1
ToDieFor,2,2
Lexxmatiq,2,2
Hydr8,1,1
Tomsize,2,3
Philip Podraza,1,1
Gioni,1,1
SickStrophe☆,1,1
Kxa,1,1
DEKKU,1,1
RyothEternal,1,1
Marshvll,1,1
Simtem,1,1
Cirque du Freak,1,1
Plenum Records,2,2
Sammie Beats,1,1
ƁⱢККИ₲,1,1
Motionzz,1,1
MxM (Official),1,1
HateRade,3,3
Trap and Bass,1,1
SHIP WREK,1,1
Felipe Saldanha Brasil 1,1,1
ZooKeepers,1,1
Just Fine,1,1
keroinn.,1,1
Cult To Follow,1,1
mp3lio.com,1,14
Tabasko,1,1
Protostar,1,1
Thomas Hayes,1,1
Pierce Fulton,1,1
Friction,1,1
Andy C,1,1
Benjamin Carlisle,1,1
Tam Cooper,1,1
Paul SG,1,1
Star.One,1,1
Jerome Price,1,1
The Ataris,1,1
Lawson,1,1
Seryoga,1,12
Dmytro Morykit,1,1
Het Goede Doel,1,1
SIN,1,1
Unwritten Law,1,1
We Are Scientists,1,1
Thrice,1,1
OK Go,1,1
Nine Black Alps,1,1
Emanuel,1,1
Animal Alpha,1,1
Asian Dub Foundation,1,1
Morningwood,1,1
Funeral for a Friend,1,1
Andrey Avkhimovich,1,3
A Day to Remember,1,1
Pillar,1,1
Myths and Legends,1,1
The Message,1,1
John Martyn,1,1
The Seekers,1,1
The Strumbellas,8,20
New World Sound and Thomas Newson,1,1
Felguk,3,20
Infected Mushroom & Berry Sakharof,1,1
Jonny,1,1
Foreign Beggars,1,1
Aligator,1,2
DJ Panda,1,5
Lil Dicky,1,1
Maitre Gims,1,4
AN21,1,3
Death Cab for Cutie,1,1
GMPresents,1,8
Nick Phoenix,10,125
Clicks & Whistles,1,1
Fearless Motivation,20,45
"Kygo, Parson James",1,1
Thin Lizzy,1,1
Lisa Gerrard,1,1
