artist,amount_of_songs,amount_of_plays
The Crystal Method,4,31
Porter Robinson,5,27
Kings of Leon,5,76
Far East Movement,3,36
Spice Girls,2,27
M83,8,66
Dan McKie,2,25
DIRKJAN RANZIJN,1,5
Dion,1,4
Jetta,2,54
Timbaland,1,2
Skillet,3,53
W&W,6,60
Lee Towers,1,2
De Kreuners,1,3
Toploader,1,14
Mike Perry,4,39
Lily Allen,1,6
Oliver Tree,1,9
Oliver Heldens,9,29
Fox Stevenson,1,37
Wankelmut,2,32
Arrested Youth,1,7
Di Quinto Rocco,1,2
Twisted Sister,1,5
Lady Gaga,4,4
Krezip,2,16
X Ambassadors,42,437
Liesbeth List,1,5
Club Madness,2,12
Frank Ocean,1,2
Laura Jansen,1,26
DJ Paul Elstak,8,116
De Jeugd van Tegenwoordig,3,11
The Chemical Brothers,5,21
MNEK,1,20
U2,4,56
Lucas & Steve,1,23
4 Non Blondes,2,7
Nick Cave & The Bad Seeds,1,6
Remady,2,8
Shirk,4,114
Tom Jones,1,6
Backstreet Boys,4,16
Los Del Rio,1,1
ZAYDE WØLF,26,52
Alessia Cara,2,49
Celldweller,7,32
Emma Hewitt,1,23
Lindsey Stirling,1,28
Sesto Sento,1,18
Family of the Year,1,21
Spacehog,1,24
Baauer,3,36
Bag Raiders,1,24
Starset,2,23
Veorra,2,45
Martin Jensen,3,8
Snollebollekes,1,2
black coast,4,21
Matthew Wilder,1,9
The Yesteryears,1,21
Kill Paris,2,7
Radiohead,8,65
Black Hippy,1,2
Cyndi Lauper,2,7
Kyro,1,3
Noma,1,3
DaBaby,1,3
t.A.T.u.,1,50
La Roux,2,6
Vance Joy,1,44
Eve,3,19
Counting Crows,2,43
Amber Pacific,1,17
Twenty One Pilots,29,100
Bruce Springsteen,3,33
Aloe Blacc,2,27
The Underdog Project,2,18
Feed Me,8,65
The Lonely Island,10,119
Foster the People,3,26
H3ctic,1,18
DNCE,1,5
Idina Menzel,3,14
Benasis,5,51
Toby Fox,1,3
Robbie Williams,1,29
Lou Bega,1,8
Don Diablo,12,39
Freestylers,2,13
Dan Croll,2,18
Silk City,1,18
Justice,1,7
Quvenzhané Wallis,1,11
Foo Fighters,22,155
Deep Blue Something,1,4
Alex Clare,1,1
Soft Cell,1,1
Tantrum Desire,2,14
Smallpools,2,23
The Flexican,1,15
Holy Grail,4,10
Jonas Aden,1,5
Music Junkies,1,20
Meredith Brooks,1,5
Deorro,3,28
Seinabo Sey,2,17
Soilwork,1,27
Seal,1,9
Nickelback,6,65
Gorgon City,2,23
Tribe Society,1,50
Goldfish,8,67
The Soggy Bottom Boys,6,33
Go Betty Go,1,26
The Lumineers,1,13
Kid Ink,2,14
Ultimate Kaos,1,19
Junkie XL,3,27
Leona Lewis,1,14
Gym Class Heroes,2,7
Duncan Laurence,1,2
Bossfight,1,17
Triggerfinger,1,3
Snoop Lion,2,15
K/DA,2,36
Die Antwoord,4,116
Patrick Hernandez,3,28
Jacques Brel,1,17
Feint,1,1
Edward Maya,3,22
The Cure,1,14
Nero's Day at Disneyland,1,26
LCD Soundsystem,2,12
Disturbing Tha Peace,1,8
Seether,1,44
London Symphony Orchestra,1,5
"Earth, Wind & Fire",1,24
Hozier,2,37
Jared P,1,2
SoKooL,2,19
Crookers,2,16
Eagles,4,52
Amaranthe,2,3
Cigarettes After Sex,1,1
Willy William,1,24
DNMO,2,9
Ephixa,1,19
Future,1,15
Joji,1,3
The Cinematic Orchestra,3,28
John Newman,8,67
The Stereoscopic Orchestra,1,20
Edu Fernandez,1,43
leavv,1,1
Monetary Justice,1,1
HM SURF,1,1
Guustavv,1,1
Lilac,1,1
Mason,4,21
Jan Smit,1,3
Younotus,1,12
Jerome,2,32
Alicia Keys,3,8
DJ Satomi,1,3
José González,1,33
Culture Code,2,30
Madcon,3,17
Marco Borsato,6,48
The Neighbourhood,5,7
Moby Rich,1,1
Jon Bellion,1,3
Owl Vision,1,17
ZHU,10,19
LVNDSCAPE,3,33
Jvla,1,1
will.i.am,5,47
Plan B,19,86
Papa Roach,14,95
Rebel,1,1
Madeon,1,20
Camo & Krooked,1,4
Mike Ault,9,66
Teddy Cream,1,2
Caravan Palace,5,42
Mastodon,30,857
The FANatics,1,4
Redondo,1,1
Koosen,2,2
Formal Chicken,1,1
Vensterbank,1,1
NIKIBI,1,1
Avocuddle,2,4
Sea Flap Flap,3,3
E-dubble,1,1
Matt Simons,5,21
